N° Projet;Montant Loyer;Durée;;Montant Financé
62286;NULL;NULL;NULL;NULL
57032;261;21;6,177;4225,3521
62311;75,69;22;6,0000237699;1261,52
62314;480;21;5,8185685492;8249,45
62315;NULL;NULL;NULL;NULL
62320;2255,1;21;5,6289660179;40062,42
62323;NULL;NULL;NULL;NULL
62325;220;21;6,1;3606,5574
62328;610,65;21;5,8185685492;10494,85
38818;295;63;1,945;15167,0951
39022;304,03;12;9,235;3292,1494
39023;NULL;NULL;NULL;NULL
29557;561;21;6;9350
39059;480;36;3,091;15528,955
39066;910,5;21;5,714;15934,5467
28214;280;21;6,04;4635,7616
39117;534;5;5,937;8994,4416
38739;1968;21;5,921;33237,6288
39130;165;60;6,292;2622,3776
38704;200;21;6,075;3292,1811
38993;132,92;21;6,162;2157,0919
39141;430,5;21;5,921;7270,7313
38867;87,3;21;6,387;1366,8389
38871;790;11;10,254;7704,3105
39147;NULL;NULL;NULL;NULL
39151;970;21;5,714;16975,8488
39137;NULL;NULL;NULL;NULL
39170;NULL;NULL;NULL;NULL
38420;NULL;NULL;NULL;NULL
39231;573;21;5,652;10138,0042
39030;NULL;NULL;NULL;NULL
39286;370;21;5,736;6450,4881
39301;374;12;9,673;3866,4323
39304;NULL;NULL;NULL;NULL
54270;132,5;21;6,433;2059,6922
40689;NULL;NULL;NULL;NULL
42203;387;21;5,711;6776,3964
39723;NULL;NULL;NULL;NULL
39729;NULL;NULL;NULL;NULL
39730;NULL;NULL;NULL;NULL
39731;NULL;NULL;NULL;NULL
39391;300;21;5,736;5230,1255
39524;441;21;5,698;7739,5577
39570;1198;21;5,546;21601,154
43618;390;21;6;6500
39775;276;20;6,391;4318,573
39503;424,98;21;5,895;7209,1603
39787;144;21;5,736;2510,4603
39777;NULL;NULL;NULL;NULL
39793;NULL;NULL;NULL;NULL
39805;NULL;NULL;NULL;NULL
39482;1653;21;5,714;28928,9464
39811;NULL;NULL;NULL;NULL
39486;NULL;NULL;NULL;NULL
39812;NULL;NULL;NULL;NULL
39816;1511;NULL;5,594;27011,0833
37119;NULL;NULL;NULL;NULL
39841;71;17;5,88;1207,483
39844;258;21;6,137;4204,0085
39860;215;16;NULL;2980,64
39886;452;21;5,68;7957,7465
39890;252;21;6,10183;4129,9086
39902;2385;3;NULL;28068,42
37991;NULL;21;NULL;NULL
39908;NULL;NULL;NULL;NULL
39909;560;60;1,996;28057,38
39492;NULL;NULL;NULL;NULL
38289;NULL;NULL;NULL;NULL
39875;385;21;5,825;6609,4421
39926;NULL;NULL;NULL;NULL
39929;171;21;6,057;2823,1798
39931;1497,67;20;6,022;24869,9768
43540;564;21;5,549;10163,9935
39948;228,9;21;6,093;3756,7701
39943;369;21;6,162;5988,3155
39955;NULL;NULL;NULL;NULL
39925;99,99;21;6,387;1565,5237
39881;NULL;NULL;NULL;NULL
39958;252;21;6,057;4160,4755
39957;1376,6;21;5,594;24608,5091
39959;774;21;5,652;13694,2675
39895;174,82;12;9,845;1775,72
39962;294;60;5,95;4941,1765
39963;141;60;6,265;2250,5986
39086;300;21;5,718;5246,5897
39089;66;17;7,244;911,0988
33478;885;21;5,895;15012,7226
25477;352;60;1,934;18200,6205
37335;763,6;21;5,594;13650,3396
38888;1450;21;5,789;25047,5039
39109;726;21;5,895;12315,5216
39123;390;21;6,518;5983,4305
39129;NULL;NULL;NULL;NULL
39131;NULL;NULL;NULL;NULL
39133;NULL;NULL;NULL;NULL
40672;390;21;5,711;6828,9266
39139;165;21;6,162;2677,702
36898;439;21;5,956;7370,7186
39142;603;21;5,52;10923,913
39143;1047;21;5,437;19256,9432
39146;1215;21;5,594;21719,6997
37167;125,28;30;12,538;999,2024
39155;1296,22;36;9,33;13893,0332
39157;NULL;NULL;NULL;NULL
39056;1003,34;21;5,573;18003,5887
37603;516;21;5,97;8643,2161
39966;162;60;6,265;2585,7941
36448;396;21;5,961;6643,1807
47108;837;21;5,546;15091,9582
39257;87;20;6,292;1382,7082
39259;NULL;NULL;NULL;NULL
39261;NULL;NULL;NULL;NULL
39262;NULL;NULL;NULL;NULL
39263;1655,5;21;5,463;30303,8623
34199;NULL;NULL;NULL;NULL
40500;444;21;5,63;7886,3233
39345;351,1;21;5,95;5900,8403
39213;597;5;5,895;10127,2265
39230;721,89;21;5,662;12749,7351
39402;1252;21;5,9;21220,339
39410;425,73;21;6,162;6908,9581
39200;1245;12;9,19122;13545,5358
39438;153;21;6,37;2401,8838
39460;573;21;5,68;10088,0282
37995;NULL;NULL;NULL;NULL
39967;261;60;5,95;4386,5546
39802;300;20;5,95;5042,0168
39974;NULL;NULL;NULL;NULL
37441;908;20;6,049;15010,7456
39076;145,2;21;5,956;2437,8778
