siren;reference contrat;date debut;montant;durée;terme;echeance;loyer intercalaire;reste;montant prestation;Périodicité;incident de paiement;reloc;assurance;matricule;entité;affichage;raison sociale;leaser;ref leaser;montant fin client
443394739;5746;01/04/2015;8 387.98;63;1;474.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4Y23158;18;0;PAPILLON RIBBON AND BOW;bnp;X0004549;8898.61
538102187;6041;01/04/2015;3 190.42;66;1;177.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;LSN4Z03833;18;0;AVOCAT LOIRE CONSEIL;bnp;X0016892;3494.34
507429116;6267;01/04/2015;10 100.92;63;1;561.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E155M130255;18;0;EURO INVESTISSEMENTS;bnp;X0027078;10531.74
785050923;7044;01/05/2015;2 884.49;63;1;55.81;0;1.00;0.00;MOIS;NON;NON;0;NUZ2905021;18;0;MAISON DES JEUNES ET DE LA CULTURE;bnp;X0038218;3160.37
402348080;7407;01/07/2015;1 420.51;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWC5412599;18;0;OPCA TRANSPORTS;bnp;X0072976;1554.93
402348080;7376;01/07/2015;1 420.51;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWC5412504;18;0;OPCA TRANSPORTS;bnp;X0072979;1554.93
402348080;7405;01/07/2015;1 420.51;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWC5312221;18;0;OPCA TRANSPORTS;bnp;X0072985;1554.93
402348080;7406;01/07/2015;1 420.51;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWC5312042;18;0;OPCA TRANSPORTS;bnp;X0072989;1554.93
402348080;7404;01/07/2015;1 420.51;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LCW5312288;18;0;OPCA TRANSPORTS;bnp;X0073022;1554.93
402348080;7685;01/07/2015;1 420.52;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWC5412476;18;0;OPCA TRANSPORTS;bnp;X0084596;1554.93
402348080;7686;01/07/2015;1 420.52;48;1;105.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LWC5412769;18;0;OPCA TRANSPORTS;bnp;X0084597;1554.93
521899229;5428;01/07/2015;3 487.85;63;1;201.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;LHD4Y23096;18;0;PLOMBERIE CHAUFFAGE PARISIENNE;bnp;X0090285;3806.97
502664972;7993;01/01/2016;10 533.04;63;1;585.00;0;1.00;0.00;TRIMESTRE;NON;NON;42.21;V9314103151;18;0;ART CONSEIL IMMOBILIER;bnp;X0093734;11078.30
311371751;8085;01/10/2015;12 963.72;63;1;720.00;0;1.00;0.00;TRIMESTRE;NON;NON;51.95;V8304200201;18;0;LES FRANCAS DU VAL DE MARNE;bnp;X0097629;13634.62
345404156;8098;01/07/2015;40 095.84;48;1;2763.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;L7Q5306767/5406850;18;0;TOYS  R  US;bnp;X0098286;40915.71
402348080;8196;01/07/2015;3 911.08;63;1;225.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD5433433;18;0;OPCA TRANSPORTS;bnp;X0102123;4261.44
483038147;8223;01/10/2015;19 189.62;63;1;1056.00;0;1.00;0.00;TRIMESTRE;NON;NON;76.19;E155M631533;18;0;JP2M IMMOBILIER;bnp;X0103664;19997.02
217703503;8368;01/11/2015;182 699.87;63;0;9703.19;0;1.00;0.00;TRIMESTRE;NON;NON;0;W673K500494;18;0;COMMUNE OZOIR LA FERRIERE;bnp;X0109070;184074.41
490671898;8465;01/01/2016;15 537.07;63;1;855.00;0;1.00;0.00;TRIMESTRE;NON;NON;61.69;E155M931685;18;0;SD ARPAJON IMMO;bnp;X0111546;16190.95
532871886;8474;01/10/2015;3 650.35;63;1;210.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD4Z26054;18;0;UNION SPORTIVE ENSEIGNEMENT PREMIER DEGRE ASSOCIAT;bnp;X0112373;3977.40
182800011;8547;01/07/2015;1 066.49;48;1;79.62;0;1.00;0.00;TRIMESTRE;NON;NON;0;S9349600918;18;0;CHAMBRE DE COMMERCE ET D'INDUSTRIE;bnp;X0114537;1156.21
491447348;7408;01/08/2015;2 282.42;63;1;135.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LBG5103819;18;0;SARL GUENIN PATRICK;bnp;X0115109;2557.22
389253972;5284;01/07/2015;6 016.72;63;1;340.00;0;1.00;0.00;TRIMESTRE;NON;NON;24.53;LBH4401402;18;0;SA EMISSAIRES;bnp;X0124463;6439.04
399770528;9249;01/10/2015;4 629.32;63;1;266.32;0;1.00;0.00;TRIMESTRE;NON;NON;0;E205R760716;18;0;DROULIN LAURENT DIDIER;bnp;X0144870;5043.86
309072262;9788;01/04/2016;3 323.01;39;1;288.40;0;1.00;0.00;TRIMESTRE;NON;NON;15;LHD5Z48382;18;0;CARTONNAGES DU VAL D'ORGE;bnp;X0165718;3530.43
384919106;10029;01/01/2016;4 745.43;63;1;273.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;L875533841;18;0;ENGINEERING MESURES;bnp;X0174433;5170.35
394548903;10114;01/01/2016;6 330.99;63;1;357.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD5942524;18;0;COMITE D'ENTREPRISE FRANCE QUICK;bnp;X0177572;6760.95
352721096;7193;01/01/2016;12 693.63;63;1;705.00;0;1.00;0.00;TRIMESTRE;NON;NON;50.87;G175R750345;18;0;CABINET CONSEIL LEGENDRE;bnp;X0178440;13350.59
430223628;10168;01/01/2016;6 011.79;63;1;339.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;G145PA01249;18;0;LE BRIS CHRISTEL;bnp;X0179580;6420.11
775513427;10172;01/01/2016;10 822.37;63;1;601.07;0;1.00;0.00;TRIMESTRE;NON;NON;43.37;7526299442GB9;18;0;UNION LOCALE SYNDICATS C G T;bnp;X0179928;11382.59
313468134;10246;01/01/2016;16 458.66;66;1;870.00;0;1.00;0.00;TRIMESTRE;NON;NON;65.43;L8F5914647;18;0;A R A P L CENTRE;bnp;X0182734;17172.07
494261605;10249;01/01/2016;32 623.62;60;1;1838.01;0;1.00;0.00;TRIMESTRE;NON;NON;0;L875432952;18;0;PROTEC DECORS;bnp;X0182748;33339.14
309094829;10259;01/01/2016;7 914.58;63;1;443.37;0;1.00;0.00;TRIMESTRE;NON;NON;0;E155M933725;18;0;SOCIETE BEILLOT;bnp;X0183684;8396.43
338354426;10100;01/01/2016;52 523.56;66;1;2685.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;W885JB00053;18;0;CGC;bnp;X0184240;53517.32
342645504;10415;01/04/2016;7 022.60;63;1;396.00;0;1.00;0.00;TRIMESTRE;NON;NON;28.6;LHD5943254;18;0;WIAME VRD;bnp;X0188831;7507.36
794710830;10500;01/01/2016;2 872.79;63;1;159.09;0;1.00;0.00;TRIMESTRE;NON;NON;15;QNW22911;18;0;ULULE;bnp;X0191947;3144.32
438302564;10556;01/01/2016;6 041.76;63;1;340.69;0;1.00;0.00;TRIMESTRE;NON;NON;0;L8K5811694;18;0;WELL PACK;bnp;X0193825;6452.10
494261605;10643;01/01/2016;2 050.12;63;1;121.26;0;1.00;0.00;TRIMESTRE;NON;NON;0;V1N5894114;18;0;PROTEC DECORS;bnp;X0197056;2297.03
775607674;10676;01/04/2016;2 365.25;63;1;139.90;0;1.00;0.00;TRIMESTRE;NON;NON;0;V5R5907019;18;0;ORLEANAIS ACCUEIL;bnp;X0198253;2652.80
312325913;10839;01/04/2016;30 228.12;63;1;1246.86;0;1.00;0.00;TRIMESTRE;NON;NON;90.27;E155MB31918;18;0;ETS GABRIEL;bnp;X0203907;23691.09
442702858;11063;01/04/2016;3 024.59;63;1;174.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;V6A5Y01533;18;0;SODIAM EXPLOITATION;bnp;X0212753;3299.19
338354426;11193;01/04/2016;32 741.06;66;1;1695.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;V1S5Y08857/63/03;18;0;CGC;bnp;X0216761;33574.07
402358147;11187;01/04/2016;7 682.79;66;1;420.00;0;1.00;0.00;TRIMESTRE;NON;NON;31.59;E15M833340;18;0;AGENCE DU CENTRE;bnp;X0216796;8290.42
381877737;8913;01/07/2016;8 758.39;63;1;498.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LHD5944232;18;0;SAVEURS MATIC;bnp;X0219526;9464.14
351232780;11425;01/04/2016;27 421.50;63;1;1509.00;0;1.00;0.00;TRIMESTRE;NON;NON;115.28;LHD5X44390;18;0;DCDI;bnp;Y0001192;28675.64
789816717;12273;01/07/2016;21 642.83;63;1;1191.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;LSN6318783;18;0;MONTEDIS;bnp;Y0033586;22632.85
784967564;12395;01/07/2016;79 313.28;63;1;4290.00;0;1.00;0.00;TRIMESTRE;NON;NON;0;E176M130528;18;0;HLM LES FOYERS DE SEINE ET MARNE;bnp;Y0038908;82436.01
532875028;12425;01/04/2016;1 318.76;63;1;78.00;0;1.00;0.00;TRIMESTRE;NON;NON;15;LRQ6229348;18;0;ACHERES EXPANSION;bnp;Y0039740;1483.09
