Contrat;Contrat Leaser;Affaire;Nature;Client;Leaser;EchÃ©ance Client < EchÃ©ance Leaser;EchÃ©ance client non facturÃ©e ;Facture Client < Facture leaser ;Facture Client impayÃ©e ;Facture Client < Loyer client;Duree;Montant;Echeance;Prochaine;Debut;Fin;Facture Materiel;Visa rentabilitÃ© Ã©chÃ©ance;RentabilitÃ© PrÃ©visionnelle;RentabilitÃ© Attendue;RentabilitÃ© RÃ©elle
2020772;X0012137;002-74096;INTERNE;C'PRO Groupe;BNP PARIBAS LEASE GROUP MANDATE;Non;Oui;Non;Non;Non;21;6441,580078125;367,17;01/07/2016;03/02/2015;30/06/2020;2327187;Non;534,55 â‚¬ / 8.30 %;772,99 â‚¬ / 12.00 %;-607,56 â‚¬ / -9.43 %
6605195;289351-E0;006-73465;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Oui;Non;Non;Non;Non;22;28591,5390625;1472,46;01/07/2016;30/01/2015;30/09/2020;6666603;Non;2 294,56 â‚¬ / 8.03 %;3 430,98 â‚¬ / 12.00 %;3 842,99 â‚¬ / 13.44 %
3076576;209205-F0;003-73235;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;21;5213,1201171875;318;01/07/2016;01/03/2015;30/06/2020;3844604;Non;578,32 â‚¬ / 11.09 %;521,31 â‚¬ / 10.00 %;-2,64 â‚¬ / -0.05 %
03076581-ADJ;CTR-033560/0001;003-71418;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;19;589,9199829102;42;01/07/2016;01/01/2015;30/09/2019;;Non;116,47 â‚¬ / 19.74 %;70,79 â‚¬ / 12.00 %;-215,22 â‚¬ / -36.48 %
2021291;289161-E0;002-71953;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;20;47973,23046875;2819,39;01/07/2016;01/04/2015;31/03/2020;2326755;Non;4 318,65 â‚¬ / 9.00 %;5 756,79 â‚¬ / 12.00 %;-4 133,62 â‚¬ / -8.62 %
2020791;289517-E0;002-70605;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;21;3274,8000488281;207,9;01/07/2016;05/02/2015;30/06/2020;2327404;Non;953,63 â‚¬ / 29.12 %;392,98 â‚¬ / 12.00 %;-481,83 â‚¬ / -14.71 %
4062632;289487-E0;004-73470;INTERNE;C'PRO Groupe;LIXXBAIL MANDATE;Non;Oui;Non;Non;Non;21;850,5;51,03;01/07/2016;03/02/2015;30/06/2020;4934905;Non;206,86 â‚¬ / 24.32 %;85,05 â‚¬ / 10.00 %;-155,21 â‚¬ / -18.25 %
4062637;CTR-033651/0001;004-73651;INTERNE;C'PRO Groupe;ACECOM;Non;Oui;Non;Non;Non;20;2735,9099121094;180,57;09/05/2016;09/02/2015;08/02/2020;4934940;Non;423,80 â‚¬ / 15.49 %;273,59 â‚¬ / 10.00 %;105,95 â‚¬ / 3.87 %
2020805;289252-E0;002-72893;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Oui;Non;Non;Non;Non;12;37066,23046875;3139,51;06/05/2016;06/02/2015;05/02/2018;2327472;Non;-132,59 â‚¬ / -0.36 %;3 706,62 â‚¬ / 10.00 %;167,70 â‚¬ / 0.45 %
4062645;212212-F0;004-72812;INTERNE;C'PRO Groupe;LIXXBAIL ADOSSE;Non;Oui;Non;Non;Non;16;5404,259765625;381;07/07/2016;07/01/2015;06/01/2019;4935026;Non;26,77 â‚¬ / 0.50 %;540,43 â‚¬ / 10.00 %;-752,28 â‚¬ / -13.92 %
