N° dossier Hexapage;N° fact HF;Leaser;Client final;SIREN;Fournisseur / Adhérent;Groupe;N° fact Adh;Facture HF HT;N° contrat Leaseur;MF HEXAPAGE
9570;5015;BNP PARIBAS LEASE GROUP;Validapro Europe;418221982;Perret Bureautique;Groupe BCMP;;9 374,08 €;X0158130;8836,21
9680;4952;BNP PARIBAS LEASE GROUP;Ecole Vidal;387972060;Perret Bureautique;Groupe BCMP;;3 636,55 €;X0177241;3337,47
9770;5296;BNP PARIBAS LEASE GROUP;CCMPI;419128475;Perret Bureautique;Groupe BCMP;;5 161,26 €;X0203865;4737,09
9785;5277;BNP PARIBAS LEASE GROUP;Patrick Sancerry;387990435;Perret Bureautique;Groupe BCMP;;7 953,90 €;X0202469;7448,22
9789;5038;BNP PARIBAS LEASE GROUP;Morning Players;534613997;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;8 465,16 €;X0183422;7979,37
9814;5040;BNP PARIBAS LEASE GROUP;Saveurs des Pyrénées;533671335;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;3 705,48 €;X0183435;3400,74
9911;5308;BNP PARIBAS LEASE GROUP;Techniques Spéciales;448613109;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;19 563,21 €;X0204912;18773,3
9929;5236;BNP PARIBAS LEASE GROUP;Colombani Stephane;434510459;Perret Bureautique;Groupe BCMP;;7 385,83 €;X0172501;6916,21
10036;5278;BNP PARIBAS LEASE GROUP;Agence Loubat;344618046;Perret Bureautique;Groupe BCMP;;6 893,50 €;X0174457;6455,13
10061;5399;BNP PARIBAS LEASE GROUP;San Mateo;432926814;Perret Bureautique;Groupe BCMP;;7 046,87 €;X0211264;6598,77
10072;7248;BNP PARIBAS LEASE GROUP;CATALA ET ASSOCIES;491639894;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;10 547,27 €;X0216702;9907,26
10090;5325;BNP PARIBAS LEASE GROUP;Cabinet de Maitre Angla;417655958;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;67 463,23 €;X0205948;66232,03
10091;5110;BNP PARIBAS LEASE GROUP;Taquipneu;317576890;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;2 727,64 €;X0176527;2503,12
10092;5385;BNP PARIBAS LEASE GROUP;Hotel République;440809168;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;13 180,16 €;X0176552;12531,6
10106;5309;BNP PARIBAS LEASE GROUP;Commune de Mascarville;213103252;Bureautique Conseil Midi Pyrenees;Groupe BCMP;;4 078,88 €;X0177640;3830,1
